,ds,y
0,2015-01-31,1.0924537037037036
1,2015-02-28,1.055324074074074
2,2015-03-31,1.089888888888889
3,2015-04-30,1.116851851851852
4,2015-05-31,1.0905185185185184
5,2015-06-30,1.0864814814814816
6,2015-07-31,1.113888888888889
7,2015-08-31,1.117037037037037
8,2015-09-30,1.0752777777777778
9,2015-10-31,1.0639814814814814
10,2015-11-30,1.024962962962963
11,2015-12-31,1.0062499999999999
12,2016-01-31,0.9859259259259259
13,2016-02-29,0.9373148148148148
14,2016-03-31,1.0012962962962964
15,2016-04-30,0.9611111111111111
16,2016-05-31,0.9362222222222222
17,2016-06-30,1.0725462962962962
18,2016-07-31,1.1853703703703704
19,2016-08-31,1.1797685185185185
20,2016-09-30,1.187962962962963
21,2016-10-31,1.3532962962962962
22,2016-11-30,1.3781944444444445
23,2016-12-31,1.0785185185185187
24,2017-01-31,1.0435555555555556
25,2017-02-28,1.0052314814814816
26,2017-03-31,1.2920833333333333
27,2017-04-30,1.3077407407407406
28,2017-05-31,1.2800925925925926
29,2017-06-30,1.2885648148148148
30,2017-07-31,1.3184814814814816
31,2017-08-31,1.4389814814814814
32,2017-09-30,1.6209722222222223
33,2017-10-31,1.5736666666666665
34,2017-11-30,1.2602777777777778
35,2017-12-31,1.1334074074074074
36,2018-01-31,1.1816203703703703
37,2018-02-28,1.0713888888888887
38,2018-03-31,1.130648148148148
