,ds,y
0,2015-01-31,1.6376388888888889
1,2015-02-28,1.5985648148148148
2,2015-03-31,1.634074074074074
3,2015-04-30,1.6500462962962965
4,2015-05-31,1.5988518518518517
5,2015-06-30,1.711666666666667
6,2015-07-31,1.7049999999999998
7,2015-08-31,1.771925925925926
8,2015-09-30,1.8230092592592593
9,2015-10-31,1.7199537037037036
10,2015-11-30,1.6362592592592593
11,2015-12-31,1.605627906976744
12,2016-01-31,1.4944444444444445
13,2016-02-29,1.5368981481481483
14,2016-03-31,1.4471296296296297
15,2016-04-30,1.4489351851851853
16,2016-05-31,1.4632222222222222
17,2016-06-30,1.4935648148148148
18,2016-07-31,1.6172962962962965
19,2016-08-31,1.6424537037037037
20,2016-09-30,1.6677777777777778
21,2016-10-31,1.760888888888889
22,2016-11-30,1.721851851851852
23,2016-12-31,1.5534722222222224
24,2017-01-31,1.5114444444444444
25,2017-02-28,1.4243518518518519
26,2017-03-31,1.505787037037037
27,2017-04-30,1.6974814814814814
28,2017-05-31,1.7850925925925925
29,2017-06-30,1.804626168224299
30,2017-07-31,1.8113703703703703
31,2017-08-31,1.958935185185185
32,2017-09-30,2.060925925925926
33,2017-10-31,1.931222222222222
34,2017-11-30,1.7743055555555556
35,2017-12-31,1.5942962962962963
36,2018-01-31,1.5932407407407407
37,2018-02-28,1.5660185185185185
38,2018-03-31,1.5422685185185185
